Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-December-2020,767.00,767.50,755.70,762.90,762.238501539385747540,106536,2950,81205841.00,21917,20.57,11.80,-4.10
9-December-2020,765.95,773.50,759.65,762.25,767.013463233997531299,113420,3453,86994667.00,24000,21.16,13.85,-3.70
8-December-2020,779.70,779.70,758.45,765.90,767.842127129206481096,115536,2753,88713408.00,32323,27.98,21.25,-13.80
7-December-2020,767.50,782.30,767.15,772.45,774.212965578156533885,194731,4388,150763265.00,39458,20.26,15.15,4.95
4-December-2020,762.15,770.30,757.15,766.60,764.348504251787105735,147585,3623,112806374.00,33452,22.67,13.15,4.45
3-December-2020,759.95,764.85,756.35,762.00,760.459768275020961963,131190,3242,99764717.00,46958,35.79,8.50,2.05
2-December-2020,756.50,760.90,751.15,758.15,756.136714408946431763,128677,2768,97297404.00,18730,14.56,9.75,1.65
1-December-2020,750.35,759.95,746.65,755.55,754.121051014994555049,179065,4590,135036686.00,51817,28.94,13.30,5.20
27-November-2020,741.70,748.75,735.35,744.65,744.491554022172815086,264919,5338,197229958.00,88477,33.40,13.40,2.95
26-November-2020,732.10,741.00,727.00,738.05,733.620356656452162070,234960,4777,172371439.00,61144,26.02,14.00,5.95
25-November-2020,751.00,754.00,728.30,731.35,740.442237725972563223,370233,10770,274136151.00,115147,31.10,25.70,-19.65
24-November-2020,750.00,752.05,741.60,748.55,747.804561041527418558,137644,3403,102930811.00,33427,24.29,10.45,-1.45
23-November-2020,741.00,758.10,739.55,746.10,751.450743091111124084,513867,14923,386145739.00,196713,38.28,18.55,5.10
20-November-2020,742.90,748.40,732.50,739.90,739.835553161829932834,157820,3800,116760847.00,36002,22.81,15.90,-3.00
19-November-2020,743.35,751.50,738.00,741.90,744.589618913105450022,308696,8942,229851837.00,87931,28.48,13.50,-1.45
18-November-2020,745.00,751.65,733.75,743.35,740.194321960449851004,289607,5808,214365457.00,73556,25.40,17.90,-1.65
17-November-2020,748.00,751.80,734.20,742.50,742.674318905699010351,281312,8058,208923198.00,79912,28.41,17.60,-5.50
14-November-2020,750.00,750.00,743.90,746.25,746.878416094894755204,51594,1585,38534445.00,32699,63.38,6.10,-3.75
13-November-2020,741.35,750.70,740.50,744.50,745.869135665576315351,360740,8017,269064832.00,164205,45.52,10.20,3.15
12-November-2020,743.00,758.70,733.95,739.90,747.982270571016328098,289011,5338,216175104.00,46601,16.12,24.75,-3.10
11-November-2020,725.00,745.30,719.00,742.10,735.581270789314679970,806003,20344,592880711.00,212893,26.41,26.30,17.10
10-November-2020,770.00,770.00,706.45,717.70,727.821841381176842057,709424,17729,516334282.00,202575,28.55,63.55,-52.30
9-November-2020,797.00,805.00,752.40,762.60,772.595012319424220662,504082,11338,389451239.00,113156,22.45,52.60,-34.40
6-November-2020,796.50,801.85,786.60,789.90,792.739103196738897232,233050,6688,184747848.00,52118,22.36,15.25,-6.60
5-November-2020,783.05,796.15,778.05,793.85,787.593828699968214381,327192,8305,257694400.00,80452,24.59,18.10,10.80
4-November-2020,759.80,783.85,758.00,781.25,775.945536362254586090,467119,15497,362458903.00,204820,43.85,25.85,21.45
3-November-2020,751.05,770.30,751.05,759.65,759.862371757171796379,122424,2932,93025391.00,20815,17.00,19.25,8.60
2-November-2020,758.00,762.45,744.60,750.95,750.052050793135624163,73947,1829,55464099.00,20495,27.72,17.85,-7.05
30-October-2020,762.10,767.40,746.40,754.10,756.834821601643771887,77383,2108,58566149.00,12801,16.54,21.00,-8.00
29-October-2020,766.10,774.50,757.15,761.90,764.944836740945543660,127313,3357,97387422.00,28115,22.08,17.35,-4.20
28-October-2020,771.00,779.50,762.25,765.15,771.294899314668664592,217559,6678,167802147.00,77571,35.66,17.25,-5.85
27-October-2020,746.25,773.00,746.25,770.45,762.999607674769786515,135092,3479,103075143.00,25162,18.63,26.75,24.20
26-October-2020,759.35,763.95,742.50,745.05,751.354115865579434535,140663,3527,105687724.00,31508,22.40,21.45,-14.30
23-October-2020,764.00,774.40,755.10,756.85,765.338586631336011624,187184,4612,143259138.00,29015,15.50,19.30,-7.15
22-October-2020,767.00,767.00,744.15,757.35,755.422392024092328987,213844,7055,161542546.00,31262,14.62,22.85,-9.65
21-October-2020,782.80,782.80,756.70,767.55,765.644727918070219067,176932,4447,135467053.00,19850,11.22,26.10,-15.25
20-October-2020,763.85,774.30,756.45,764.05,766.497907683928652475,220330,6139,168882484.00,26913,12.21,17.85,0.20
19-October-2020,782.10,782.80,762.20,763.85,768.383339363745164073,107787,3047,82821735.00,20756,19.26,20.60,-18.25
16-October-2020,768.50,787.15,758.35,782.10,775.844806349206349206,315000,7601,244391114.00,77322,24.55,28.80,13.60
15-October-2020,776.00,787.80,762.95,768.45,776.721729007060237344,133140,3100,103412731.00,19270,14.47,24.85,-7.55
14-October-2020,789.00,794.00,766.80,781.40,780.321027041565803902,241665,6133,188576281.00,34508,14.28,27.20,-7.60
13-October-2020,810.00,829.00,778.75,788.25,809.358892933858782074,419451,10649,339486397.00,57533,13.72,50.25,-21.75
12-October-2020,806.00,819.30,800.30,814.70,809.203012211195195824,229134,5635,185415923.00,49991,21.82,19.00,8.70
9-October-2020,814.00,825.00,800.25,803.30,813.244425741608118657,327936,6435,266692124.00,26270,8.01,24.75,-10.70
8-October-2020,774.95,814.95,774.95,811.40,796.911341270264979623,561930,15845,447808390.00,195765,34.84,40.00,36.45
7-October-2020,778.20,790.20,771.30,773.65,778.414187124990137383,1356131,3775,1055631610.00,1203983,88.78,18.90,-4.55
6-October-2020,783.45,787.70,777.05,780.20,781.493689552238805970,167500,4504,130900193.00,38925,23.24,10.65,-3.25
5-October-2020,776.00,783.65,762.40,779.10,773.468530794399677907,176347,5116,136398855.00,45090,25.57,21.25,3.10
1-October-2020,771.00,781.20,765.75,773.10,772.877492320580843339,143240,3856,110706972.00,23809,16.62,15.45,2.10
30-September-2020,762.10,794.65,761.00,774.75,781.953699539244200573,400212,9427,312947254.00,37435,9.35,33.65,12.65
29-September-2020,776.05,786.00,759.65,762.25,769.307865109496722323,152242,3783,117120968.00,14056,9.23,26.35,-13.80
28-September-2020,772.00,778.00,755.75,774.65,768.141629703154564347,290151,7865,222877062.00,34034,11.73,22.25,2.65
25-September-2020,744.00,776.60,740.55,770.20,760.367064980005971173,425377,8883,323442661.00,25502,6.00,36.05,26.20
24-September-2020,765.80,766.25,729.65,732.80,749.984713083897999934,244392,5563,183290264.00,37226,15.23,36.60,-33.00
23-September-2020,785.00,785.00,762.05,766.90,768.854282357322858486,746423,6662,573890520.00,92636,12.41,22.95,-18.10
22-September-2020,779.90,787.65,755.05,778.20,774.281783081658119262,561769,11628,434967503.00,54767,9.75,32.60,-1.70
21-September-2020,806.85,811.40,762.10,767.70,787.646713482868628206,506235,13306,398734334.00,85575,16.90,49.30,-39.15
18-September-2020,776.25,819.00,775.95,806.85,798.803175359834277384,1481029,41364,1183050668.00,456860,30.85,43.05,30.60
17-September-2020,753.00,761.55,746.65,752.05,753.999160484748067896,451451,6993,340393675.00,186007,41.20,14.90,-0.95
16-September-2020,749.00,756.20,732.25,752.70,743.147571150749670646,191284,4143,142152240.00,20873,10.91,23.95,3.70
15-September-2020,720.00,753.25,720.00,742.30,745.226555584581064801,532099,12788,396534305.00,119316,22.42,33.25,22.30
14-September-2020,726.50,730.35,717.95,721.75,722.719108415995040297,103232,2341,74607739.00,18395,17.82,12.40,-4.75
11-September-2020,728.95,731.00,720.35,725.50,724.603003130221939796,84978,2445,61575314.00,16294,19.17,10.65,-3.45
10-September-2020,729.90,735.60,719.30,727.35,726.759309576679412870,140957,3847,102441812.00,28616,20.30,16.30,-2.55
9-September-2020,701.50,734.80,701.50,727.80,719.547097443183445715,349106,8148,251198209.00,71704,20.54,33.30,26.30
8-September-2020,721.90,726.55,704.55,708.35,715.625024428757924689,127923,2621,91544900.00,22231,17.38,22.00,-13.55
7-September-2020,725.75,733.80,707.15,716.65,715.216749065476908235,232204,5678,166076190.00,37777,16.27,26.65,-9.10
4-September-2020,729.00,750.00,717.05,724.70,736.483312712793228685,325727,7940,239892500.00,61166,18.78,32.95,-4.30
3-September-2020,740.00,745.85,735.00,738.60,739.561782604980584644,105329,1891,77897303.00,14543,13.81,10.85,-1.40
2-September-2020,730.25,748.35,729.70,737.90,739.155780691299165673,201360,5898,148836408.00,41666,20.69,18.65,7.65
1-September-2020,710.10,740.90,710.10,737.25,725.044242292714097973,165882,3915,120271789.00,20981,12.65,30.80,27.15
31-August-2020,750.10,755.35,706.30,712.10,729.909851466659005372,348070,11910,254059722.00,100688,28.93,49.05,-38.00
28-August-2020,760.00,771.00,747.10,748.80,758.702676117193892091,217554,4800,165058802.00,49147,22.59,23.90,-11.20
27-August-2020,749.65,763.70,749.65,756.05,756.223293588519842746,185433,3536,140228754.00,38089,20.54,14.05,6.40
26-August-2020,753.65,753.80,744.80,747.95,748.432629177824060299,100830,1890,75464462.00,32686,32.42,9.00,-5.70
25-August-2020,755.00,757.50,745.40,747.50,749.397738050703033188,264639,6348,198319868.00,151257,57.16,12.10,-7.50
24-August-2020,764.00,766.05,750.40,751.95,754.855602850679833629,205565,6357,155171892.00,46760,22.75,15.65,-12.05
21-August-2020,769.95,770.75,759.10,761.15,764.800627639861994097,160283,2949,122584539.00,30080,18.77,11.65,-8.80
20-August-2020,758.45,771.60,758.45,762.65,764.464104605958049228,361662,7237,276477617.00,85401,23.61,13.15,4.20
19-August-2020,773.00,773.00,757.00,758.45,763.058391398593460293,184993,3729,141160461.00,40853,22.08,16.00,-14.55
18-August-2020,776.70,779.80,763.10,764.65,769.567929600181092781,176705,3535,135986501.00,22945,12.98,16.70,-12.05
17-August-2020,779.95,780.40,765.45,771.45,772.213881472505376415,300386,6209,231962239.00,54795,18.24,14.95,-8.50
14-August-2020,762.00,787.55,753.30,771.80,774.431426632819312338,723641,15391,560410332.00,138065,19.08,34.25,9.80
13-August-2020,766.00,782.95,754.50,760.40,767.978210240304880200,566780,11271,435274690.00,70915,12.51,28.45,-5.60
12-August-2020,776.00,776.95,755.50,762.20,762.633572496172075480,328507,8347,250530467.00,68016,20.70,21.45,-13.80
11-August-2020,800.00,802.60,768.90,778.70,781.386254827568606767,587770,13029,459275399.00,106678,18.15,33.70,-21.30
10-August-2020,763.40,814.45,751.55,795.65,792.259956258994669166,1853181,33507,1468201098.00,167997,9.07,62.90,32.25
7-August-2020,739.00,739.60,724.75,728.60,730.713209042473890288,254886,6363,186248567.00,79596,31.23,14.85,-10.40
6-August-2020,728.45,739.20,719.90,731.70,732.392635458813077043,416455,11640,305008575.00,147668,35.46,19.30,3.25
5-August-2020,719.30,729.90,716.00,722.55,722.271129232445425392,178059,3650,128606875.00,34044,19.12,13.90,3.25
4-August-2020,709.80,718.50,703.50,713.85,711.639099294862127232,324901,6927,231212255.00,99511,30.63,15.00,4.05
3-August-2020,725.00,734.00,700.90,710.55,717.089325724743272759,638226,13856,457665052.00,171257,26.83,33.10,-14.45
31-July-2020,688.70,723.95,687.95,720.30,712.438050856387299839,588402,12591,419199974.00,85766,14.58,36.00,31.60
30-July-2020,681.00,699.00,681.00,685.95,690.791764963941500624,223387,4862,154313900.00,47739,21.37,18.00,4.95
29-July-2020,663.90,685.50,663.65,681.25,676.825670347303504010,393863,10312,266576589.00,138190,35.09,21.85,17.35
28-July-2020,651.90,665.70,644.65,662.70,657.692368677498031745,181633,3047,119458638.00,29566,16.28,21.05,10.80
27-July-2020,678.80,678.80,650.55,652.65,655.892486124697162531,285219,5559,187072999.00,108814,38.15,28.25,-26.15
24-July-2020,672.50,680.65,658.50,665.50,668.430950921954208679,341069,6110,227981076.00,54132,15.87,22.15,-7.00
23-July-2020,661.75,673.95,661.75,671.55,669.736503385850886446,235096,5605,157452373.00,72947,31.03,12.20,9.80
22-July-2020,664.20,677.45,658.00,661.80,668.818462111843331243,295145,4593,197398425.00,39652,13.43,19.45,-2.40
21-July-2020,677.20,682.00,660.00,661.40,665.116672963102883767,269994,4354,179577511.00,150131,55.61,22.00,-15.80
20-July-2020,691.40,691.40,672.85,674.30,678.072587854184606552,243870,4516,165361562.00,41822,17.15,18.55,-17.10
17-July-2020,675.80,696.20,669.55,689.00,686.360945381756507077,798323,12485,547937729.00,348884,43.70,26.65,13.20
16-July-2020,640.00,677.00,636.25,674.50,660.723755315197989591,611219,13383,403846913.00,152824,25.00,40.75,34.50
15-July-2020,634.90,643.25,633.25,638.15,637.987061683629321356,242690,3415,154833080.00,102569,42.26,10.00,3.25
14-July-2020,640.00,644.00,631.45,632.20,638.309811729687177627,499229,7937,318662769.00,306046,61.30,12.55,-7.80
13-July-2020,641.90,645.90,636.75,638.15,640.968165604832890043,97002,2051,62175194.00,23095,23.81,9.15,-3.75
10-July-2020,642.50,647.20,636.90,638.65,642.414028543071289229,175314,4035,112624173.00,46847,26.72,10.30,-3.85
