Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-February-2021,706.50,716.30,691.70,699.55,707.163164542895621385,980881,16463,693642912.00,127934,13.04,24.60,-6.95
8-February-2021,694.90,704.45,682.70,702.90,695.077852044899822067,1209448,23531,840660518.00,438460,36.25,21.75,8.00
5-February-2021,657.00,690.00,651.50,685.15,672.990191767449915767,1778404,33109,1196848449.00,394095,22.16,38.50,28.15
4-February-2021,653.00,663.50,638.80,656.10,653.777786025088318665,498479,8567,325894497.00,64064,12.85,24.70,3.10
3-February-2021,642.25,664.00,637.30,652.95,652.099908199366971434,783219,17195,510737038.00,206736,26.40,26.70,10.70
2-February-2021,640.60,647.80,624.35,641.70,638.203402887055762938,850278,18457,542650313.00,175661,20.66,23.45,1.10
1-February-2021,604.00,639.90,597.45,636.15,617.750715370874305080,1197980,26761,740053002.00,251970,21.03,42.45,32.15
29-January-2021,629.10,633.60,596.30,601.15,610.073272536709419372,1250837,29570,763102222.00,190209,15.21,37.30,-27.95
28-January-2021,618.00,630.50,614.00,623.95,622.560629891527717870,688563,15687,428672215.00,230935,33.54,16.50,5.95
27-January-2021,652.00,652.00,623.60,625.80,635.116214538862303810,612290,19136,388875307.00,139904,22.85,28.40,-26.20
25-January-2021,648.60,661.70,631.05,652.10,648.234992725964645323,628262,11789,407261413.00,132879,21.15,30.65,3.50
22-January-2021,670.40,675.85,633.95,646.95,653.050142481829564431,1186818,27167,775051664.00,204655,17.24,41.90,-23.45
21-January-2021,693.00,694.75,661.90,666.80,678.239728127617129220,825093,17338,559610852.00,149343,18.10,32.85,-26.20
20-January-2021,695.00,699.45,682.45,690.15,689.962656575529205998,933096,12600,643801395.00,76807,8.23,17.00,-4.85
19-January-2021,671.00,683.90,647.60,680.65,668.872860254448927272,814466,14149,544774203.00,78509,9.64,36.30,9.65
18-January-2021,706.00,710.00,659.65,666.20,674.863696142922737370,834129,16038,562923380.00,129643,15.54,50.35,-39.80
15-January-2021,710.00,721.45,698.00,705.55,711.069581100352284640,921414,12794,655189467.00,116579,12.65,23.45,-4.45
14-January-2021,711.00,714.35,697.20,706.15,704.407097235673547415,473931,8282,333840360.00,80227,16.93,17.15,-4.85
13-January-2021,703.20,714.70,693.15,709.20,705.135471195999015604,719223,10991,507149649.00,79129,11.00,21.55,6.00
12-January-2021,696.60,724.25,691.55,694.75,708.752770710458347789,1037640,15663,735430225.00,110457,10.64,32.70,-1.85
11-January-2021,713.25,713.25,688.30,695.50,695.509570921673176758,782631,13757,544327351.00,104539,13.36,24.95,-17.75
8-January-2021,726.80,727.40,703.20,713.00,716.667610875388152748,759366,10984,544213017.00,143366,18.88,24.20,-13.80
7-January-2021,691.60,731.35,691.60,722.75,718.783136567314130657,1707019,30050,1226976471.00,405130,23.73,39.75,31.15
6-January-2021,683.20,696.30,674.95,683.95,685.472948670827207536,1066528,17911,731076093.00,379169,35.55,21.35,0.75
5-January-2021,686.00,693.60,675.15,680.70,683.117213338550008303,710542,11203,485383471.00,100715,14.17,18.45,-5.30
4-January-2021,646.55,699.45,646.55,692.75,673.544162099857780651,1788083,29892,1204352866.00,475670,26.60,52.90,46.20
1-January-2021,644.00,649.55,640.45,643.10,644.314574345355226225,562557,5314,362463674.00,178889,31.80,9.10,-0.90
31-December-2020,636.90,653.30,636.35,643.55,645.226967243699663339,715557,11978,461696673.00,174643,24.41,16.95,6.65
30-December-2020,633.10,643.95,624.50,641.05,635.743335378446808326,462892,5673,294280504.00,169680,36.66,19.45,7.95
29-December-2020,637.00,639.75,620.70,631.85,629.269865224225483669,573842,8342,361101478.00,232199,40.46,19.05,-5.15
28-December-2020,629.50,635.35,626.60,632.80,631.207304317428932700,366167,5523,231127285.00,125213,34.20,8.75,3.30
24-December-2020,625.00,637.00,619.30,622.25,627.594461619417220285,532105,10473,333946151.00,111603,20.97,17.70,-2.75
